,date,Postcode,geography code,Rural Urban,Variable: All usual residents; measures: Value,Variable: Males; measures: Value,Variable: Females; measures: Value,Variable: Lives in a household; measures: Value,Variable: Lives in a communal establishment; measures: Value,Variable: Schoolchild or full-time student aged 4 and over at their non term-time address; measures: Value,Variable: Area (Hectares); measures: Value,Variable: Density (number of persons per hectare); measures: Value,Longitude,Latitude,Population
158,2011,BH23 7,BH23 7,Total,4485,2167,2318,4400,85,49,1186.8,3.8,-1.76195,50.7559,4829.0
159,2011,BH23 8,BH23 8,Total,4758,2280,2478,4721,37,92,3052.34,1.6,-1.73989,50.7793,4454.0
160,2011,BH24 1,BH24 1,Total,10473,4984,5489,10322,151,120,498.39,21.0,-1.78243,50.8498,10444.0
161,2011,BH24 2,BH24 2,Total,6859,3327,3532,6660,199,104,2480.7,2.8,-1.83041,50.8342,6865.0
162,2011,BH24 3,BH24 3,Total,4879,2386,2493,4788,91,106,7805.67,0.6,-1.77513,50.8521,4810.0
163,2011,BH24 4,BH24 4,Total,1384,642,742,1324,60,29,4552.97,0.3,-1.70676,50.832,1377.0
164,2011,BH25 5,BH25 5,Total,12352,5855,6497,12065,287,151,1474.9,8.4,-1.6541,50.7606,12548.0
165,2011,BH25 6,BH25 6,Total,6598,2993,3605,6413,185,38,286.76,23.0,-1.65766,50.7517,6574.0
166,2011,BH25 7,BH25 7,Total,6767,3089,3678,6574,193,62,323.17,20.9,-1.66683,50.7417,6687.0
167,2011,BH31 6,BH31 6,Total,10168,4964,5204,10168,0,114,789.24,12.9,-1.8716,50.8745,10192.0
168,2011,BH31 7,BH31 7,Total,3192,1517,1675,3173,19,32,537.96,5.9,-1.8713,50.8793,3118.0
169,2011,BN10 7,BN10 7,Total,9126,4445,4681,9050,76,51,451.16,20.2,-0.00672617,50.7981,9339.0
170,2011,BN10 8,BN10 8,Total,9453,4582,4871,9358,95,43,413.95,22.8,0.00909782,50.7937,9229.0
171,2011,BN11 1,BN11 1,Total,4628,2287,2341,4526,102,52,66.18,69.9,-0.372887,50.8144,4729.0
172,2011,BN11 2,BN11 2,Total,9066,4353,4713,8798,268,71,202.73,44.7,-0.356678,50.8161,9031.0
173,2011,BN11 3,BN11 3,Total,4200,2144,2056,4085,115,23,59.9,70.1,-0.377318,50.8103,4420.0
174,2011,BN11 4,BN11 4,Total,8956,4191,4765,8037,919,80,105.9,84.6,-0.384065,50.8146,8370.0
175,2011,BN11 5,BN11 5,Total,6428,3044,3384,6325,103,80,124.66,51.6,-0.394246,50.8123,6220.0
176,2011,BN12 4,BN12 4,Total,7807,3656,4151,7760,47,99,252.24,31.0,-0.416403,50.812,8433.0
177,2011,BN12 5,BN12 5,Total,4415,2001,2414,4343,72,41,257.98,17.1,-0.442973,50.8111,4478.0
178,2011,BN12 6,BN12 6,Total,7905,3764,4141,7905,0,54,378.6,20.9,-0.426123,50.8201,7506.0
179,2011,BN13 1,BN13 1,Total,8137,3964,4173,8118,19,105,153.75,52.9,-0.394732,50.8223,8372.0
180,2011,BN13 2,BN13 2,Total,10512,5052,5460,10455,57,73,209.52,50.2,-0.403504,50.8315,10312.0
181,2011,BN13 3,BN13 3,Total,8887,4297,4590,8774,113,104,1987.85,4.5,-0.418317,50.8358,8884.0
182,2011,BN14 0,BN14 0,Total,5739,2741,2998,5739,0,67,1869.82,3.1,-0.398171,50.854,5647.0
183,2011,BN14 7,BN14 7,Total,10779,5207,5572,10678,101,133,176.48,61.1,-0.383118,50.8227,11109.0
184,2011,BN14 8,BN14 8,Total,6774,3300,3474,6761,13,60,171.26,39.6,-0.366328,50.8223,6772.0
185,2011,BN14 9,BN14 9,Total,7444,3638,3806,7399,45,109,588.57,12.6,-0.375513,50.83,7479.0
186,2011,BN15 0,BN15 0,Total,8486,4257,4229,8165,321,103,1712.34,5.0,-0.329536,50.8367,8500.0
187,2011,BN15 8,BN15 8,Total,7801,3684,4117,7672,129,35,281.35,27.7,-0.320134,50.8241,7616.0
188,2011,BN15 9,BN15 9,Total,11084,5269,5815,11070,14,80,454.93,24.4,-0.326595,50.8306,11184.0
189,2011,BN16 1,BN16 1,Total,6626,3106,3520,6499,127,73,437.15,15.2,-0.481487,50.8117,6830.0
190,2011,BN16 2,BN16 2,Total,6920,3206,3714,6835,85,64,256.48,27.0,-0.507188,50.8079,6805.0
191,2011,BN16 3,BN16 3,Total,8060,3588,4472,7891,169,61,180.03,44.8,-0.504842,50.8153,7986.0
192,2011,BN16 4,BN16 4,Total,6728,3200,3528,6716,12,71,1658.44,4.1,-0.48444,50.8271,6510.0
193,2011,BN17 5,BN17 5,Total,6494,3247,3247,6243,251,46,850.97,7.6,-0.541866,50.8088,6251.0
194,2011,BN17 6,BN17 6,Total,13671,6513,7158,13501,170,122,416.57,32.8,-0.527038,50.8157,13547.0
195,2011,BN17 7,BN17 7,Total,8127,3964,4163,8099,28,53,368.0,22.1,-0.544488,50.8209,8744.0
196,2011,BN18 0,BN18 0,Total,8600,4350,4250,7963,637,114,5291.89,1.6,-0.606286,50.838,8477.0
197,2011,BN18 9,BN18 9,Total,4868,2330,2538,4813,55,73,5327.52,0.9,-0.549819,50.8598,4755.0
198,2011,BN20 0,BN20 0,Total,1620,761,859,1601,19,23,860.38,1.9,0.215575,50.7629,1629.0
199,2011,BN20 7,BN20 7,Total,5862,2640,3222,5112,750,72,1156.73,5.1,0.271054,50.7598,6145.0
200,2011,BN20 8,BN20 8,Total,8331,3910,4421,8225,106,115,836.58,10.0,0.256841,50.7763,8517.0
201,2011,BN20 9,BN20 9,Total,5138,2428,2710,5056,82,63,433.4,11.9,0.250835,50.7991,5110.0
202,2011,BN21 1,BN21 1,Total,6943,3236,3707,6825,118,98,167.97,41.3,0.267138,50.7743,7110.0
203,2011,BN21 2,BN21 2,Total,9050,4301,4749,8492,558,115,327.07,27.7,0.271473,50.779,8430.0
